Pulsatilla pratensis;MED
Pulsatilla vulgaris;MED
Punica granatum;MED
Pyrola rotundifolia;MED
Pyrola rotundifolia;MEDPLR
Pyrus communis;MED
Quercus robur;MED
Rana arvalis;PC
Rana lessonae;PC
Rana perezi;PC
Ranunculus acris;MED
Ranunculus bulbosus;MED
Ranunculus ficaria;MED
Ranunculus glacialis;MED
Ranunculus glacialis;MEDPLR
Ranunculus sceleratus;MED
Ranunculus sceleratus;MEDPLR
Ranunculus thora;MED
Ranunculus thora;MEDPLR
Raphanus sativus;MED
Reseda luteola;MED
Reseda luteola;MEDPLR
Rhamnus cathartica;MED
Rhamnus cathartica;MEDPLR
Rheum rhabarbarum;MED
Rhingia campestris;POL_2
Rhododendron ferrugineum;MED
Rhododendron ferrugineum;SYM
Rhododendron hirsutum;SYM
Ribes nigrum;MED
Ribes rubrum;MED
Robinia pseudoacacia;MED
Rosa canina;MED
Rosa canina;MEDPLR
Rosa gallica ;MED
Rosa pendulina;MED
Rosa pendulina;MEDPLR
Rosmarinus officinalis;MED
Rubia tinctorum;MED
Rubia tinctorum;MEDPLR
Rubus fruticosus;MED
Rubus fruticosus;MEDPLR
Rubus idaeus;MED
Rubus idaeus;MEDPLR
Rumex acetosa;MED
Rumex alpinus;MED
Rumex alpinus;MEDPLR
Rumex crispus;MED
Rumex patientia;MED
Rupicapra rupicapra;SYM
Ruscus aculeatus;MED
Ruscus aculeatus;MEDPLR
Ruta graveolens;MED
Ruta graveolens;MEDPLR
Salix alba;MED
Salix daphnoides;MED
Salix daphnoides;MEDPLR
Salix fragilis;MED
Salix purpurea;MED
Salix viminalis;MED
Salix viminalis;MEDPLR
Salvia officinalis;MED
Salvia sclarea;MED
Sambucus ebulus;MED
Sambucus ebulus;MEDPLR
Sambucus nigra;MED
Sambucus nigra;MEDPLR
Sanguisorba minor;MED
Sanguisorba officinalis ;MED
Sanicula europaea;MED
Sanicula europaea;MEDPLR
Saponaria officinalis;MED
Saponaria officinalis;MEDPLR
Satureja hortensis;MED
Saxicola rubetra;PC
Saxicola torquata;PC
Saxifraga granulata;MED
Scabiosa columbaria;MED
Scaeva pyrastri;POL_2
Scaeva selenitica;POL_2
Scleranthus annuus;MED
Scrophularia nodosa;MED
Scrophularia nodosa;MEDPLR
Secale cereale;MED
Sedum acre;MED
Sedum acre;MEDPLR
Sedum album ;MED
Sedum telephium;MED
Seladonia tumulorum;POL_2
Sempervivum tectorum;MED
Senecio jacobaea;MED
Senecio vulgaris;MED
Senecio vulgaris;MEDPLR
Silybum marianum;MED
Sinapis alba;MED
Sinapis arvensis;MED
Sinapis arvensis;MEDPLR
Solanum dulcamara;MED
Solanum dulcamara;MEDPLR
Solanum melongena;MED
Solanum nigrum;MED
Solanum tuberosum;MED
Solidago canadensis;MED
Solidago virgaurea;MED
Sorbus aucuparia;MED
Sorbus domestica;MED
Sorbus domestica;MEDPLR
Sorex araneus;PC
Sorex coronatus;PC
Sphaerophoria rueppelli;POL_2
Sphaerophoria scripta;POL_2
Sphaerophoria spec;POL_2
Sphaerophoria spec ;POL_2
Sphecodes croaticus;POL_2
Sphecodes gibbus;POL_2
Sphecodes monilicornis;POL_2
Sphiximorpha subsessilis;POL_2
Spinacia oleracea;MED
Stachys officinalis;MED
Stachys palustris;MED
Stachys palustris;MEDPLR
Stachys recta;MED
Stachys sylvatica;MED
Stachys sylvatica;MEDPLR
Stellaria media;MED
Stellaria media;MEDPLR
Stenolophus teutonus;RM
Stomis pumicatus;RM
Sturnus unicolor;PC
Sturnus vulgaris;PC
Succisa pratensis;MED
Succisa pratensis;MEDPLR
Suncus etruscus;PC
Symphytum officinale;MED
Symphytum officinale;MEDPLR
Syritta pipiens;POL_2
Syrphus ribesii;POL_2
Syrphus torvus;POL_2
Syrphus vitripennis;POL_2
Tachys bistriatus;RM
Talpa europaea;PC
Talpa occidentalis;PC
Talpa romana;PC
Tanacetum balsamita;MED
Tanacetum cinerariifolium;MED
Tanacetum vulgare;MED
Tanacetum vulgare;MEDPLR
Taraxacum officinale;MED
Taraxacum officinale;MEDPLR
Tarentola mauritanica;PC
Taxus baccata;MED
Taxus baccata;MEDPLR
Teucrium chamaedrys;MED
Teucrium chamaedrys;MEDPLR
Teucrium scordium;MED
Teucrium scorodonia;MED
Thuja occidentalis;MED
Thymus serpyllum;MED
Thymus serpyllum;MEDPLR
Thymus vulgaris;MED
Tilia cordata;MED
Tragopogon pratensis;MED
Trechus quadristriatus;RM
Trichotichnus nitens;RM
Trifolium arvense;MED
Triticum aestivum;MED
Tropidia scita;POL_2
Turdus merula;PC
Turdus pilaris;PC
Turdus viscivorus;PC
Tussilago farfara;MED
Tussilago farfara;MEDPLR
Tyto alba;PC
Ulex europaeus ;MED
Ulmus glabra Huds.;MED
Upupa epops;PC
Ursus arctos;SYM
Urtica dioica;MED
Urtica urens;MED
Urtica urens;MEDPLR
Vaccinium myrtillus ;MED
Vaccinium vitis-idaea;MED
Valeriana officinalis;MED
Valeriana officinalis;MEDPLR
Vanellus vanellus;PC
Veratrum album;MED
Verbascum thapsus;MED
Verbena officinalis;MED
Verbena officinalis;MEDPLR
Veronica beccabunga;MED
Veronica beccabunga;MEDPLR
Veronica officinalis;MED
